K,N,L,ABUpdates,EUpdates,SyncAB,SyncAE,UpdatesABmin,UpdatesABmax,SyncAESuccess,SampleSize
3.0,4.0,4.0,161.95,88.51,100.0,73.2,37,406,0.01,100
3.0,4.0,6.0,406.82828282828285,212.34343434343435,100.0,72.1010101010101,111,792,0.0,99
3.0,4.0,8.0,812.639175257732,425.8041237113402,100.0,71.24742268041237,254,2329,0.0,97
3.0,4.0,10.0,1171.3092783505156,623.1649484536083,100.0,74.16494845360825,395,2954,0.0,97
3.0,6.0,4.0,211.95,111.74,100.0,71.93,65,683,0.0,100
3.0,6.0,6.0,484.09,251.45,100.0,73.41,196,1313,0.0,100
3.0,6.0,8.0,948.15,497.74,100.0,72.36,241,2214,0.0,100
3.0,6.0,10.0,1563.75,814.97,100.0,72.04,681,3221,0.0,100
3.0,8.0,4.0,251.72,130.74,100.0,72.6,85,542,0.0,100
3.0,8.0,6.0,569.52,295.84,100.0,72.06,250,1290,0.0,100
3.0,8.0,8.0,1157.18,600.08,100.0,72.68,440,3113,0.0,100
3.0,8.0,10.0,1769.78,921.23,100.0,72.9,502,4103,0.0,100
3.0,10.0,4.0,278.14,144.42,100.0,71.55,98,721,0.0,100
3.0,10.0,6.0,641.1,334.38,100.0,73.39,240,1363,0.0,100
3.0,10.0,8.0,1149.73,593.29,100.0,72.16,512,2757,0.0,100
3.0,10.0,10.0,1871.18,971.8,100.0,72.56,857,4721,0.0,100
4.0,4.0,4.0,207.94,106.51,100.0,71.74,72,468,0.0,100
4.0,4.0,6.0,478.66,244.43,100.0,71.59,141,1209,0.0,100
4.0,4.0,8.0,916.1458333333334,467.6770833333333,100.0,71.65625,278,2185,0.0,96
4.0,4.0,10.0,1333.8865979381444,675.4329896907217,100.0,72.23711340206185,482,2640,0.0,97
4.0,6.0,4.0,254.09,128.25,100.0,70.93,79,718,0.0,100
4.0,6.0,6.0,687.08,347.3,100.0,71.54,209,1944,0.0,100
4.0,6.0,8.0,1218.32,617.05,100.0,71.06,375,3128,0.0,100
4.0,6.0,10.0,2074.52,1052.36,100.0,72.48,918,5829,0.0,100
4.0,8.0,4.0,307.46,156.12,100.0,71.33,124,695,0.0,100
4.0,8.0,6.0,771.74,388.82,100.0,72.27,301,1665,0.0,100
4.0,8.0,8.0,1549.97,778.06,100.0,71.4,602,4123,0.0,100
4.0,8.0,10.0,2654.36,1336.82,100.0,71.78,857,5299,0.0,100
4.0,10.0,4.0,359.72,180.43,100.0,71.48,114,954,0.0,100
4.0,10.0,6.0,926.26,465.02,100.0,71.59,310,2389,0.0,100
4.0,10.0,8.0,1926.92,969.44,100.0,72.09,647,5408,0.0,100
4.0,10.0,10.0,3051.68,1535.74,100.0,71.27,1065,7885,0.0,100
5.0,4.0,4.0,235.31,120.12,100.0,71.6,93,547,0.0,100
5.0,4.0,6.0,564.0808080808081,284.949494949495,100.0,72.24242424242425,222,1062,0.0,99
5.0,4.0,8.0,1085.295918367347,543.6122448979592,100.0,72.59183673469387,304,2611,0.0,98
5.0,4.0,10.0,1661.54,829.65,100.0,72.71,543,3433,0.0,100
5.0,6.0,4.0,321.63,161.76,100.0,70.94,99,903,0.0,100
5.0,6.0,6.0,800.49,399.22,100.0,72.18,326,1734,0.0,100
5.0,6.0,8.0,1555.98,779.11,100.0,71.65,466,3519,0.0,100
5.0,6.0,10.0,2654.66,1330.81,100.0,72.58,1054,6938,0.0,100
5.0,8.0,4.0,425.16,211.67,100.0,71.11,125,1063,0.0,100
5.0,8.0,6.0,1018.92,507.56,100.0,71.0,351,2657,0.0,100
5.0,8.0,8.0,2041.2,1020.76,100.0,71.69,840,4262,0.0,100
5.0,8.0,10.0,3734.88,1871.19,100.0,71.86,1297,12126,0.0,100
5.0,10.0,4.0,515.24,258.28,100.0,71.23,168,1488,0.0,100
5.0,10.0,6.0,1402.01,702.5,100.0,71.69,382,4137,0.0,100
5.0,10.0,8.0,2587.17,1297.13,100.0,72.64,916,7705,0.0,100
5.0,10.0,10.0,5212.73,2614.96,100.0,72.55,1362,22261,0.0,100
