K,N,L,ABUpdates,EUpdates,SyncAB,SyncAE,UpdatesABmin,UpdatesABmax,SyncAESuccess,SampleSize
3.0,4.0,4.0,178.61871227364185,95.5271629778672,100.0,73.67505030181087,35,573,0.012072434607645875,994
3.0,4.0,6.0,403.7939393939394,212.97979797979798,100.0,72.81616161616162,96,1591,0.00404040404040404,990
3.0,4.0,8.0,727.4342915811088,383.37166324435316,100.0,73.30082135523614,166,2531,0.0,974
3.0,6.0,4.0,214.65,112.468,100.0,72.395,57,661,0.002,1000
3.0,6.0,6.0,500.145,262.457,100.0,72.151,137,1609,0.0,1000
3.0,6.0,8.0,938.398,489.682,100.0,72.69,260,3021,0.001,1000
3.0,8.0,4.0,243.043,127.003,100.0,72.3,64,594,0.0,1000
3.0,8.0,6.0,567.882,295.603,100.0,72.619,199,1763,0.0,1000
3.0,8.0,8.0,1071.325,557.211,100.0,72.604,256,3521,0.0,1000
4.0,4.0,4.0,209.14729458917836,106.64028056112224,100.0,71.33166332665331,44,712,0.001002004008016032,998
4.0,4.0,6.0,473.13535353535354,240.1757575757576,100.0,71.84444444444445,77,1773,0.0,990
4.0,4.0,8.0,873.5051020408164,442.86326530612246,100.0,72.11326530612244,243,2833,0.0,980
4.0,6.0,4.0,261.793,132.526,100.0,70.723,57,853,0.0,1000
4.0,6.0,6.0,647.26,327.115,100.0,71.533,160,1904,0.0,1000
4.0,6.0,8.0,1253.35,633.902,100.0,71.738,314,3443,0.0,1000
4.0,8.0,4.0,324.723,163.721,100.0,71.02,102,839,0.0,1000
4.0,8.0,6.0,782.308,393.994,100.0,71.854,255,2252,0.0,1000
4.0,8.0,8.0,1503.539156626506,759.8232931726908,100.0,71.91566265060241,454,3787,0.0,996
