K,N,L,ABUpdates,EUpdates,SyncAB,SyncAE,KeyA,KeyB,KeyE
3,2,2,24,17,100,87,c01abfa18e03d2502f682f5d66b1ced423ac70d4cfa4d6dbfdb2d2c25c4741c7,c01abfa18e03d2502f682f5d66b1ced423ac70d4cfa4d6dbfdb2d2c25c4741c7,ec60b9b543e5527f80f59b92cf9e42c215a6f36cd1f938ea90f49a43955ba72b
3,2,2,43,25,100,91,40804934992ca25fdff9fc930ffeeeb4bd73bf29ef70fd2fc5e05101431f99f2,40804934992ca25fdff9fc930ffeeeb4bd73bf29ef70fd2fc5e05101431f99f2,bc3ce506ba6ee12e69f3595ea3dd9b04fe4eeeafdad5accfd367abd2bfd2cbc1
3,2,2,30,12,100,33,cc730ea3257aebbb0d0108c734876353c07eabe89c2ce725452d257ba846fb19,cc730ea3257aebbb0d0108c734876353c07eabe89c2ce725452d257ba846fb19,e04e8cfa66745ca67feb6bba5e7df1fdbbf89ecfbab29880febcebf841bb4f3d
3,2,2,25,14,100,45,e2b240a39aa9cb0c1c3fe54efb4889c6271d92e3fe250737aa9f6f895f04af72,e2b240a39aa9cb0c1c3fe54efb4889c6271d92e3fe250737aa9f6f895f04af72,8521db8f3b5311830bd89cf292b8b06e622393e04c262c5215b5a65b2127ce06
3,2,2,21,8,100,75,1f3ea226c493cb30227cbb1b309b0aef98c99563e43fa2b3819dfd8b437265f3,1f3ea226c493cb30227cbb1b309b0aef98c99563e43fa2b3819dfd8b437265f3,1f563d9a5d5917fb375d8def67279e86f806d0fd19846137b6e8652db85c5d13
3,2,2,15,11,100,75,40db501d2f724068c79dea238d59b0ba14fa7e56fba14139828e051e86626325,40db501d2f724068c79dea238d59b0ba14fa7e56fba14139828e051e86626325,a0133da89620c5817dac6c806e7ee27fef3b2b396d61236cd06c86a5ee40af99
3,2,2,14,9,100,66,fff504c12d8ada9323eca6c541b7774e0754c11385212ecb002e4f14785c313b,fff504c12d8ada9323eca6c541b7774e0754c11385212ecb002e4f14785c313b,d7b32edf6adbcd89b54bfb43c602b842e0d5622cededcd97d7b4ea99f2078c3d
3,2,2,48,47,100,100,3de32d1066624e231ecd281e6fade73ac43f302a1af4df7831a62c743f970989,3de32d1066624e231ecd281e6fade73ac43f302a1af4df7831a62c743f970989,3de32d1066624e231ecd281e6fade73ac43f302a1af4df7831a62c743f970989
3,2,2,31,21,100,62,47878cb470f195c5692ca2688f400e4af2427bc7467ab5223d1c296d01bba48a,47878cb470f195c5692ca2688f400e4af2427bc7467ab5223d1c296d01bba48a,ed8c93f338e31d1294c52df86423f232243aa6664ac2fe5ba2676d8f29ab6834
3,2,2,44,18,100,62,97331aeb8131c9009a5a56d6b5465bc5b652ed850a272aac7e693bf5d1b39a78,97331aeb8131c9009a5a56d6b5465bc5b652ed850a272aac7e693bf5d1b39a78,fbe4beafbb3d6b69c0d7083f6f280a981cf50756362dfcbf12f65c733f621128
3,2,3,65,32,100,75,01ad1f23375c9ea172e33c85c2b363b40a6dfdb9e77f3e0451c6e56c1a1db05a,01ad1f23375c9ea172e33c85c2b363b40a6dfdb9e77f3e0451c6e56c1a1db05a,107ac169f334a738a1ec904d18b997135b9e186e222a8aba737cb0f2109e0cc6
