K,N,L,ABUpdates,EUpdates,SyncAB,SyncAE,UpdatesABmin,UpdatesABmax,SyncAESuccess,SampleSize
3.0,2.0,2.0,29.5,18.2,100.0,69.6,14,48,0.1,10
3.0,2.0,3.0,50.333333333333336,26.77777777777778,100.0,72.88888888888889,30,71,0.0,9
3.0,2.0,4.0,93.16666666666667,56.0,100.0,71.0,22,252,0.0,6
3.0,3.0,2.0,45.3,26.5,100.0,73.4,16,88,0.1,10
3.0,3.0,3.0,69.11111111111111,37.666666666666664,100.0,73.22222222222223,36,102,0.0,9
3.0,3.0,4.0,146.4,77.7,100.0,74.6,87,281,0.0,10
3.0,4.0,2.0,38.5,20.8,100.0,72.4,24,55,0.0,10
3.0,4.0,3.0,110.2,59.2,100.0,78.6,57,197,0.0,10
3.0,4.0,4.0,207.0,105.2,100.0,68.3,52,495,0.0,10
4.0,2.0,2.0,29.444444444444443,15.777777777777779,100.0,69.77777777777777,10,50,0.0,9
4.0,2.0,3.0,62.1,30.7,100.0,72.8,24,104,0.0,10
4.0,2.0,4.0,123.83333333333333,64.83333333333333,100.0,71.5,58,340,0.0,6
4.0,3.0,2.0,63.6,32.8,100.0,69.3,24,109,0.0,10
4.0,3.0,3.0,105.0,53.6,100.0,73.2,25,173,0.0,10
4.0,3.0,4.0,170.22222222222223,87.55555555555556,100.0,76.33333333333333,74,287,0.0,9
4.0,4.0,2.0,50.6,26.6,100.0,69.5,29,99,0.0,10
4.0,4.0,3.0,129.2,64.0,100.0,70.6,56,249,0.0,10
4.0,4.0,4.0,170.4,89.8,100.0,69.3,97,259,0.0,10
